epoch,train_loss,val_loss,train_hint_metric,val_hint_metric,lr,cuda_mem_allocated_gib,cuda_mem_reserved_gib,cuda_peak_allocated_gib,cuda_peak_reserved_gib
1,0.2507838700654415,0.21691440958529712,1.8875123755748455,1.7585469789803028,0.00010061683546739653,0.11880207061767578,21.63671875,20.995224475860596,21.63671875
2,0.2349861249098411,0.21227688770741224,1.8669924887327047,1.6155124839395285,0.00010246565082072429,0.11878633499145508,21.63671875,20.995229244232178,21.63671875
3,0.2256986079307703,0.21042386300396174,1.7615268949361949,1.5939832009375094,0.00010554137754939432,0.11880254745483398,21.63671875,20.9952335357666,21.63671875
4,0.23474598698891125,0.21075400728732346,1.87790045605256,1.60825504232198,0.00010983558357636515,0.11873245239257812,21.63671875,20.995227336883545,21.63671875
5,0.2292948881106881,0.21158702338580043,1.7775787817514859,1.6097088072448968,0.00011533649637460706,0.11878204345703125,21.63671875,20.99523162841797,21.63671875
6,0.22241602241419828,0.2100988944992423,1.7324707931280137,1.5850162893533706,0.00012202903524137748,0.11879110336303711,21.63671875,20.995222568511963,21.63671875
7,0.2269948524580552,0.20938700486440212,1.7837627923488617,1.5723704136908054,0.00012989485264183233,0.11878252029418945,21.63671875,20.995225429534912,21.63671875
8,0.22229197301543677,0.2054563948418945,1.7706894273024338,1.6124320477247238,0.00013891238450862648,0.11869001388549805,21.63671875,20.995226860046387,21.63671875
9,0.22527874446545657,0.19275872251018883,1.8721965550917845,1.542508788779378,0.0001490569093596096,0.11879730224609375,21.63671875,20.99522352218628,21.63671875
10,0.2067012109979987,0.19076513878535478,1.7161036294240217,1.5379505142569543,0.00016030061607154615,0.11881446838378906,21.63671875,20.995225429534912,21.63671875
11,0.2062245593735805,0.1916981309419498,1.714770123408391,1.5426876056939363,0.000172612680124059,0.11880970001220703,21.63671875,20.995226860046387,21.63671875
12,0.20539169827905984,0.19080127377528697,1.7204120149979225,1.5603734508156777,0.0001859593481047724,0.11881875991821289,21.63671875,20.99522829055786,21.63671875
13,0.19912818214927727,0.1904187596635893,1.6615179767516943,1.5602495826780796,0.00020030403024398863,0.11880731582641602,21.63671875,20.99522590637207,21.63671875
14,0.2097884070357451,0.19021830174606294,1.782940189930109,1.5395172460004687,0.00021560740072520967,0.11882543563842773,21.63671875,20.995225429534912,21.63671875
15,0.21224892986508517,0.18971651222091168,1.780685876103548,1.5441994652152062,0.0002318275054965089,0.11870718002319336,21.63671875,20.99522638320923,21.63671875
16,0.20342903196811676,0.1849889429518953,1.7305211367973914,1.5250593597069382,0.00024891987728718496,0.11879682540893555,21.63671875,20.99522352218628,21.63671875
17,0.20069470033049583,0.18587054503150285,1.620861865878105,1.5321083467453718,0.00026683765751438226,0.11876535415649414,21.63671875,20.99522304534912,21.63671875
18,0.2033786960461965,0.1812482650624588,1.6250505972367066,1.3825467485934495,0.0002855317247454739,0.11878681182861328,21.63671875,20.995222091674805,21.63671875
19,0.20803011435155686,0.18033943893387913,1.6430529527480786,1.3497448440641164,0.0003049508293640241,0.11878347396850586,21.63671875,20.995232105255127,21.63671875
20,0.19828574468883184,0.17993225706741214,1.5604215282660263,1.3900794629007578,0.00032504173407014894,0.11875724792480469,21.63671875,20.995219707489014,21.63671875
21,0.19420188679718053,0.17983074006042443,1.50208832186002,1.3353721423074603,0.00034574935983009444,0.1188054084777832,21.63671875,20.99522352218628,21.63671875
22,0.20126416970330935,0.17926943344064056,1.5827197165214097,1.3830753225833177,0.00036701693687490715,0.11879348754882812,21.63671875,20.99522638320923,21.63671875
23,0.19713948912918566,0.17937055074144154,1.5519435992149206,1.3593169827014209,0.0003887861603342462,0.11880016326904297,21.63671875,20.995230674743652,21.63671875
