epoch,train_loss,val_loss,train_hint_metric,val_hint_metric,lr
1,1.0006332397460938,0.9807291626930237,18.616060256958008,18.11272621154785,0.001
2,0.9807291626930237,0.9245299100875854,18.11272621154785,16.578105926513672,0.001
3,0.9245299100875854,0.8276258111000061,16.578105926513672,14.046424865722656,0.001
4,0.8276258111000061,0.7127200365066528,14.046422958374023,10.97540283203125,0.001
5,0.7127200365066528,0.6802212595939636,10.97540283203125,10.546616554260254,0.001
6,0.6802213191986084,0.5187606811523438,10.546616554260254,7.802313327789307,0.001
7,0.5187606811523438,0.5387580990791321,7.802313327789307,8.24306869506836,0.001
8,0.5387580990791321,0.46712958812713623,8.243069648742676,7.268667697906494,0.001
9,0.4671296179294586,0.36218616366386414,7.268667221069336,6.365846157073975,0.001
10,0.36218616366386414,0.32152774930000305,6.365846157073975,5.078875541687012,0.001
11,0.32152774930000305,0.3010530471801758,5.07887601852417,5.337177753448486,0.001
12,0.3010530173778534,0.30874204635620117,5.337177753448486,5.262703895568848,0.001
13,0.30874204635620117,0.2993480861186981,5.262703895568848,5.245759963989258,0.001
14,0.2993481457233429,0.2816096246242523,5.245760917663574,4.819967746734619,0.001
15,0.2816096246242523,0.2619172930717468,4.819967746734619,4.437948703765869,0.001
16,0.2619172930717468,0.2323608547449112,4.437948703765869,3.7413244247436523,0.001
17,0.2323608547449112,0.24025680124759674,3.7413244247436523,3.9972944259643555,0.001
18,0.24025678634643555,0.21860240399837494,3.997293710708618,3.6991100311279297,0.001
19,0.21860240399837494,0.2038998007774353,3.6991100311279297,3.7520737648010254,0.001
20,0.2038998007774353,0.18592090904712677,3.7520740032196045,3.6735479831695557,0.001
21,0.18592090904712677,0.1644161343574524,3.6735482215881348,3.679399013519287,0.001
22,0.1644161343574524,0.16272318363189697,3.6793994903564453,3.370251417160034,0.001
23,0.16272319853305817,0.14469070732593536,3.3702521324157715,2.9604485034942627,0.001
24,0.14469069242477417,0.1381269246339798,2.9604480266571045,2.8652167320251465,0.001
25,0.13812696933746338,0.13868464529514313,2.8652169704437256,2.848966598510742,0.001
26,0.13868463039398193,0.10477372258901596,2.848966598510742,2.0768659114837646,0.001
27,0.10477374494075775,0.13774162530899048,2.076866388320923,2.634716272354126,0.001
28,0.13774165511131287,0.10475312173366547,2.634716749191284,2.1882083415985107,0.001
29,0.10475311428308487,0.11326802521944046,2.1882083415985107,2.011971950531006,0.001
30,0.11326803267002106,0.10837524384260178,2.011971950531006,1.9591315984725952,0.001
31,0.10837524384260178,0.10610790550708771,1.9591325521469116,1.7791199684143066,0.001
32,0.10610787570476532,0.09674617648124695,1.7791197299957275,1.832891821861267,0.001
33,0.09674617648124695,0.0972803384065628,1.832891821861267,1.7179875373840332,0.001
34,0.09728031605482101,0.08061115443706512,1.7179875373840332,1.471638798713684,0.001
35,0.08061111718416214,0.08853127062320709,1.4716383218765259,1.4921530485153198,0.001
36,0.08853127807378769,0.07400587201118469,1.492152452468872,1.26244056224823,0.001
37,0.0740058571100235,0.08086685836315155,1.26244056224823,1.321074366569519,0.001
38,0.08086684346199036,0.06117597594857216,1.3210742473602295,1.034537434577942,0.001
